,#,Coin,,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV,Last 7 Days
,183,Celestia                          TIA,Buy,$0.3735,0.2%,0.4%,15.1%,33.0%,"$29,142,610","$327,180,492","$433,959,653",0.75,
,184,Decred                          DCR,Buy,$18.94,1.0%,1.1%,4.8%,9.1%,"$3,398,468","$326,969,344","$326,995,467",1.0,
,185,Kinesis Silver                          KAG,,$87.75,0.9%,8.5%,21.5%,19.1%,"$4,221,047","$326,939,520","$326,939,520",1.0,
,186,The Graph                          GRT,Buy,$0.03023,0.1%,0.0%,14.8%,25.4%,"$15,054,202","$323,732,800","$326,635,334",0.99,
,187,Staked Aave                          STKAAVE,,$126.67,0.0%,1.0%,16.4%,22.6%,"$32,007.64","$318,711,415","$318,711,415",1.0,
,188,IOTA                          IOTA,Buy,$0.07335,0.4%,0.8%,12.8%,26.7%,"$10,486,684","$313,170,513","$353,129,899",0.89,
,189,Stader ETHx                          ETHX,Buy,"$2,477.60",0.2%,1.6%,21.0%,26.7%,"$2,482.45","$310,500,259","$310,500,259",1.0,
,190,Bitcoin SV                          BSV,Buy,$15.46,0.2%,0.5%,12.4%,17.0%,"$7,308,825","$308,970,867","$308,970,963",1.0,
,191,Wrapped STX (Velar)                          WSTX,,$0.3090,0.0%,19.7%,5.6%,3.4%,$793.53,"$308,957,596","$308,957,596",1.0,
,192,JasmyCoin                          JASMY,Buy,$0.006191,0.4%,2.9%,7.0%,8.4%,"$18,526,800","$306,308,404","$309,746,594",0.99,
,193,Cap USD                          CUSD,,$1.02,1.7%,1.6%,2.8%,1.5%,"$27,245.17","$305,606,973","$305,606,973",1.0,
,194,crvUSD                          CRVUSD,,$0.9976,0.3%,0.1%,0.1%,0.2%,"$26,346,723","$304,466,458","$304,466,458",1.0,
,195,USX                          USX,,$0.9998,0.0%,0.0%,0.0%,0.1%,"$1,113,586","$302,382,224","$302,382,224",1.0,
,196,ether.fi Staked ETH                          EETH,Buy,"$2,289.36",0.2%,1.8%,21.4%,27.0%,"$18,937.34","$301,273,958","$7,788,070,864",0.04,
,197,Starknet                          STRK,Buy,$0.05673,0.0%,1.6%,16.6%,35.2%,"$45,717,045","$300,123,000","$567,946,152",0.53,
,198,Gnosis                          GNO,,$112.76,0.2%,2.9%,18.8%,19.0%,"$7,021,739","$299,121,741","$339,963,996",0.88,
,199,Wrapped ApeCoin                          WAPE,,$0.1473,0.4%,0.5%,17.9%,32.9%,"$409,129","$295,919,528","$295,919,546",1.0,
,200,Avalanche Bridged BTC (Avalanche)                          BTC.B,Buy,"$78,256.67",0.1%,0.1%,10.9%,14.1%,"$12,633,347","$295,502,488","$295,502,488",1.0,
,201,Pyth Network                          PYTH,Buy,$0.05076,0.1%,1.6%,13.2%,24.5%,"$17,460,036","$292,040,173","$507,897,500",0.57,
,202,Binance-Peg BUSD                          BUSD,,$0.9999,0.2%,0.0%,0.1%,0.4%,"$2,906,975","$290,317,836","$290,317,836",1.0,
,203,Telcoin                          TEL,Buy,$0.003036,0.1%,6.6%,15.1%,25.0%,"$2,793,640","$288,819,528","$303,773,584",0.95,
,204,Conflux                          CFX,Buy,$0.05582,0.0%,0.1%,16.6%,29.9%,"$11,181,727","$288,443,553","$320,473,967",0.9,
,205,SPX6900                          SPX,Buy,$0.3084,0.4%,0.5%,16.7%,52.2%,"$15,152,488","$287,635,247","$287,635,247",1.0,
,206,Trust Wallet                          TWT,Buy,$0.6701,0.0%,0.5%,20.0%,26.0%,"$20,798,072","$279,421,146","$670,637,736",0.42,
,207,Olympus                          OHM,,$17.72,0.5%,2.2%,14.9%,18.7%,"$629,238","$277,585,614","$373,289,523",0.74,
,208,Binance-Peg Dogecoin                          DOGE,Buy,$0.1077,0.2%,0.0%,11.3%,29.1%,"$3,195,222","$276,209,363","$276,209,363",1.0,
,209,Legacy Frax Dollar                          FRAX,,$0.9907,0.1%,0.2%,0.2%,0.2%,"$4,481,434","$273,796,995","$273,796,995",1.0,
,210,AB                          AB,Buy,$0.002760,0.2%,0.5%,33.2%,38.7%,"$6,201,650","$272,954,590","$272,954,590",1.0,
,211,Undeads Games                          UDS,,$2.19,0.6%,1.1%,5.1%,17.1%,"$333,140","$272,585,818","$547,145,224",0.5,
,212,The Sandbox                          SAND,Buy,$0.09976,0.4%,1.6%,22.6%,18.0%,"$28,612,875","$266,325,614","$299,546,386",0.89,
,213,Ethereum Name Service                          ENS,Buy,$6.86,0.1%,1.3%,21.0%,34.1%,"$24,544,932","$262,087,221","$686,026,028",0.38,
,214,Axie Infinity                          AXS,,$1.55,0.1%,5.6%,38.6%,63.5%,"$127,170,470","$261,469,497","$418,024,119",0.63,
,215,Staked Cap USD                          STCUSD,,$1.05,1.1%,0.2%,1.7%,0.6%,$4.19,"$256,420,073","$256,420,073",1.0,
,217,Unit Bitcoin                          UBTC,,"$78,302.34",0.1%,0.5%,11.0%,14.1%,"$66,351,071","$256,342,824","$1,644,850,037,672",0.0,
,216,dogwifhat                          WIF,Buy,$0.2562,0.2%,0.1%,20.6%,30.1%,"$98,543,125","$256,066,686","$256,066,686",1.0,
,221,River                          RIVER,,$13.02,2.5%,42.0%,78.2%,14.3%,"$71,496,033","$255,264,432","$1,302,369,551",0.2,
,218,Kite                          KITE,,$0.1419,0.7%,4.3%,15.5%,50.0%,"$35,437,777","$255,219,168","$1,417,884,269",0.18,
,219,Sentient                          SENT,,$0.03511,1.5%,0.4%,30.4%,-,"$514,969,035","$254,228,074","$1,206,873,783",0.21,
,220,Pendle                          PENDLE,Buy,$1.55,0.1%,2.1%,17.3%,29.9%,"$43,327,305","$253,510,934","$436,905,864",0.58,
,223,Wrapped HYPE                          WHYPE,Buy,$35.82,0.2%,8.8%,30.9%,42.1%,"$280,833,733","$249,145,030","$249,809,275",1.0,
,222,ZKsync                          ZK,,$0.02360,0.3%,6.7%,14.0%,29.1%,"$92,658,398","$249,026,975","$595,029,319",0.42,
,224,Staked USDai                          SUSDAI,,$1.07,0.0%,0.3%,0.2%,0.4%,"$9,386,272","$248,419,870","$248,419,870",1.0,
,225,Kraken Wrapped BTC                          KBTC,,"$78,430.86",0.1%,0.5%,10.6%,14.2%,"$505,377","$247,253,103","$247,253,103",1.0,
,226,ADI                          ADI,,$2.47,0.9%,5.0%,24.2%,98.1%,"$1,997,481","$240,585,003","$2,470,959,826",0.1,
,227,Gate Wrapped BTC                          GTBTC,,"$78,342.44",0.1%,0.2%,11.1%,14.3%,"$573,876","$235,564,775","$235,564,775",1.0,
,229,MimbleWimbleCoin                          MWC,,$20.92,0.4%,0.3%,4.1%,11.2%,"$134,112","$234,117,652","$234,118,905",1.0,
,228,BENQI Liquid Staked AVAX                          SAVAX,Buy,$12.63,0.2%,0.5%,12.8%,27.5%,"$450,571","$233,751,849","$233,751,849",1.0,
,230,Aster Staked BNB                          ASBNB,,$818.89,0.1%,0.8%,12.4%,13.1%,"$132,053","$232,163,334","$232,163,334",1.0,
,231,StarkGate Bridged USDC (Starknet)                          USDC,,$0.9997,0.0%,0.0%,0.0%,0.0%,"$1,702,013","$230,452,318","$230,452,318",1.0,
,232,BTSE Token                          BTSE,,$1.41,0.0%,0.0%,8.2%,15.1%,"$12,288,345","$228,125,939","$281,530,083",0.81,
,233,NEO                          NEO,,$3.22,0.2%,0.4%,7.9%,16.3%,"$13,119,249","$226,975,728","$321,814,445",0.71,
,234,GALA                          GALA,Buy,$0.004802,0.2%,0.1%,19.3%,32.2%,"$23,670,015","$226,975,307","$226,975,307",1.0,
,235,Neutrl USD                          NUSD,,$0.9981,0.1%,0.2%,0.2%,0.2%,"$739,255","$226,430,401","$226,430,500",1.0,
,236,Binance Wrapped BTC                          BBTC,,"$77,641.46",0.5%,3.0%,11.2%,14.7%,"$40,828.18","$225,160,226","$225,160,226",1.0,
,237,Fartcoin                          FARTCOIN,,$0.2232,0.4%,0.8%,21.8%,38.5%,"$46,577,094","$224,213,571","$224,213,571",1.0,
,238,Wrapped Aave Ethereum USDC                          WAETHUSDC,,$1.16,0.0%,3.9%,0.5%,0.4%,"$108,982,646","$222,673,371","$222,673,371",1.0,
,239,Theta Network                          THETA,Buy,$0.2223,0.9%,0.8%,16.2%,24.7%,"$8,965,491","$222,413,824","$222,413,824",1.0,
,240,SwissBorg                          BORG,,$0.2235,0.9%,3.0%,0.6%,14.7%,"$428,829","$220,093,385","$220,093,385",1.0,
,241,YLDS                          YLDS,,$1.00000,0.0%,0.0%,0.0%,0.0%,"$1,574,468","$219,245,238","$219,245,238",1.0,
,242,Ultima                          ULTIMA,,"$5,777.62",0.4%,0.4%,3.4%,2.2%,"$9,843,175","$218,234,096","$577,764,778",0.38,
,243,USDa                          USDA,,$0.9874,-,-,-,-,$99.75,"$217,922,544","$217,922,544",1.0,
,244,Decentraland                          MANA,,$0.1131,0.1%,0.6%,18.4%,17.7%,"$15,970,112","$217,129,579","$248,141,309",0.88,
,245,Plasma                          XPL,Buy,$0.1004,0.4%,4.7%,19.9%,48.0%,"$48,631,333","$216,401,884","$1,003,926,265",0.22,
,246,AUSD                          AUSD,,$0.9996,0.0%,0.0%,0.0%,0.0%,"$36,332,893","$216,377,697","$216,377,697",1.0,
,248,Hastra Wrapped YLDS                          WYLDS,,$0.9995,0.0%,0.0%,0.0%,0.0%,"$20,771.25","$215,417,225","$215,417,225",1.0,
,247,Zebec Network                          ZBCN,,$0.002191,0.4%,4.4%,20.2%,15.7%,"$10,172,618","$215,251,220","$219,747,169",0.98,
,249,Ape and Pepe                          APEPE,Buy,$0.051016,0.0%,0.8%,8.3%,2.3%,"$28,581,233","$213,496,278","$213,496,278",1.0,
,250,PRIME                          PRIME,,$1.01,0.0%,0.0%,0.1%,0.5%,"$111,100","$213,162,092","$213,162,092",1.0,
,251,Golem                          GLM,,$0.2136,0.2%,2.1%,8.9%,10.7%,"$17,810,838","$212,757,883","$212,757,883",1.0,
,253,Noble USDC                          USDC.N,,$1.00,0.3%,0.5%,0.4%,0.2%,"$623,987","$211,487,872","$211,487,872",1.0,
,252,Humanity                          H,,$0.1149,0.9%,5.2%,26.6%,34.9%,"$34,676,742","$210,474,647","$1,153,285,739",0.18,
,254,Onyxcoin                          XCN,,$0.005663,0.1%,1.8%,10.3%,16.2%,"$7,475,484","$209,647,751","$302,608,047",0.69,
,255,Polygon PoS Bridged WETH (Polygon POS)                          WETH,Buy,"$2,299.32",0.0%,1.4%,20.9%,26.6%,"$9,632,102","$207,495,356","$207,495,362",1.0,
,256,Spiko US T-Bills Money Market Fund                          USTBL,,$1.07,0.0%,0.0%,0.1%,0.3%,$49.95,"$205,751,193","$205,751,193",1.0,
,257,Blockchain Capital                          BCAP,,$22.45,0.0%,0.9%,0.9%,2.1%,$0.00,"$204,566,892","$204,566,892",1.0,
,258,Fluid                          FLUID,,$2.62,0.4%,0.4%,6.3%,13.7%,"$3,989,237","$203,526,685","$262,504,846",0.78,
,259,Terra Luna Classic                          LUNC,,$0.00003682,0.0%,0.2%,1.5%,15.5%,"$13,774,542","$201,460,539","$238,458,157",0.84,
,261,Arbitrum Bridged Wrapped eETH (Arbitrum)                          WEETH,Buy,"$2,501.13",0.1%,1.5%,20.9%,26.5%,"$507,512","$197,975,573","$197,975,573",1.0,
,260,Wrapped Aave Ethereum USDT                          WAETHUSDT,,$1.15,0.0%,3.1%,0.8%,0.0%,"$114,778,182","$197,584,656","$197,759,190",1.0,
,262,Sonic                          S,Buy,$0.05203,0.2%,0.8%,21.5%,43.9%,"$22,324,217","$197,034,082","$202,277,624",0.97,
,263,Compound                          COMP,,$20.13,0.8%,1.0%,14.0%,24.3%,"$26,766,692","$194,318,779","$200,987,769",0.97,
,264,WeFi                          WFI,,$2.43,0.7%,0.5%,15.0%,10.6%,"$4,325,548","$192,761,947","$2,432,599,927",0.08,
,265,Monad                          MON,,$0.01773,2.8%,4.8%,13.8%,37.2%,"$64,224,254","$192,113,057","$1,773,801,562",0.11,
,266,Mantle Bridged WETH (Mantle)                          WETH,Buy,"$2,295.52",0.2%,0.3%,21.0%,27.0%,"$4,629,755","$190,558,270","$190,558,270",1.0,
,267,Tradable NA Rent Financing Platform SSTN                          PC0000031,,$1.00,0.0%,0.0%,0.0%,0.0%,$0.00,"$189,500,000","$189,500,000",1.0,
,268,Savings Dai                          SDAI,,$1.17,0.0%,0.0%,0.1%,0.0%,"$195,975","$188,753,811","$188,753,811",1.0,
,269,Raydium                          RAY,,$0.6992,0.4%,2.3%,27.1%,37.1%,"$26,914,670","$188,301,602","$388,653,152",0.48,
,270,Arbitrum Bridged wstETH (Arbitrum)                          WSTETH,Buy,"$2,816.27",0.0%,0.7%,21.0%,26.6%,"$2,437,325","$187,541,445","$187,541,445",1.0,
,271,RealLink                          REAL,,$0.06024,0.2%,0.5%,15.7%,21.8%,"$5,503,805","$186,735,497","$186,735,497",1.0,
,272,Falcon Finance                          FF,,$0.07917,0.1%,0.8%,11.1%,16.8%,"$106,837,337","$185,265,445","$791,732,670",0.23,
,274,Mantle Restaked ETH                          CMETH,,"$2,491.42",0.1%,0.2%,21.3%,26.6%,"$9,851,978","$184,130,842","$184,130,842",1.0,
,273,Drift Staked SOL                          DSOL,,$120.19,0.1%,0.0%,18.1%,23.1%,"$11,174.58","$183,981,503","$183,981,503",1.0,
,276,Frax Ether                          FRXETH,,"$2,288.21",0.1%,1.5%,21.4%,26.8%,"$1,895,914","$183,279,875","$183,279,875",1.0,
,275,Basic Attention                          BAT,,$0.1224,0.0%,2.0%,28.0%,44.4%,"$21,827,928","$183,198,833","$183,723,860",1.0,
,277,Vision                          VSN,,$0.05131,0.1%,2.8%,7.2%,43.0%,"$19,336,558","$183,153,322","$215,504,607",0.85,
,278,Quantum Resistant Ledger                          QRL,,$2.31,0.0%,8.5%,11.6%,12.8%,"$188,857","$181,387,563","$181,387,563",1.0,
,279,Helium                          HNT,Buy,$0.9713,0.1%,0.8%,11.4%,38.9%,"$7,197,557","$181,149,161","$216,809,527",0.84,
,281,pippin                          PIPPIN,,$0.1789,0.4%,1.3%,42.6%,64.2%,"$23,504,452","$180,044,506","$180,044,506",1.0,
,280,eCash                          XEC,,$0.058985,0.4%,0.2%,12.0%,23.2%,"$4,532,135","$179,825,015","$179,825,690",1.0,
,282,Cronos Bridged USDC (Cronos)                          USDC,,$0.9969,0.1%,0.4%,0.1%,0.8%,"$3,800,406","$178,938,668","$178,938,668",1.0,
,283,Polygon Bridged WBTC (Polygon POS)                          WBTC,Buy,"$77,958.32",0.0%,0.0%,11.1%,14.4%,"$4,662,959","$177,807,296","$177,807,296",1.0,
,284,InfiniFi USD                          IUSD,,$0.9991,0.1%,0.1%,0.1%,0.1%,"$329,979","$177,598,826","$177,598,826",1.0,
,285,Bybit Staked SOL                          BBSOL,,$116.21,0.2%,0.9%,17.0%,23.2%,"$5,716,765","$177,200,497","$177,200,497",1.0,
,286,Superbridge Bridged wstETH (Base)                          WSTETH,Buy,"$2,818.34",0.0%,1.6%,20.9%,26.6%,"$2,966,747","$176,869,138","$176,869,138",1.0,
,287,MX                          MX,,$1.91,0.3%,0.5%,2.2%,7.6%,"$8,530,587","$175,227,761","$780,428,860",0.22,
,288,Shmeegus                          SHMEEGUS,,$0.051983,-,-,-,-,$421.76,"$175,075,968","$175,075,968",1.0,
,289,Theo Short Duration US Treasury Fund                          THBILL,,$1.01,0.1%,0.0%,0.1%,0.0%,"$5,569,643","$174,993,874","$174,993,874",1.0,
,290,BUILDon                          B,,$0.1725,0.3%,7.8%,11.5%,14.4%,"$5,027,302","$172,508,389","$172,508,389",1.0,
,291,Convex Finance                          CVX,,$1.86,0.3%,0.4%,8.9%,11.7%,"$6,850,854","$170,621,828","$185,854,028",0.92,
,292,Aster USDF                          USDF,,$0.9977,0.0%,0.0%,0.0%,0.0%,"$429,712","$170,237,492","$170,237,492",1.0,
,293,Arweave                          AR,,$2.54,0.2%,1.3%,22.2%,36.6%,"$19,445,048","$166,624,561","$166,624,561",1.0,
,294,THORChain                          RUNE,,$0.4656,0.3%,0.3%,16.9%,21.0%,"$28,458,818","$163,703,727","$198,208,582",0.83,
,295,Resolv Liquidity Provider Token                          RLP,,$1.28,0.0%,0.1%,0.1%,0.6%,"$929,217","$162,975,606","$162,975,606",1.0,
,296,OriginTrail                          TRAC,,$0.3637,0.4%,5.7%,4.3%,15.7%,"$8,462,490","$162,687,426","$181,865,460",0.89,
,298,1INCH                          1INCH,,$0.1152,0.5%,0.5%,1.2%,27.1%,"$22,580,844","$162,175,710","$172,803,855",0.94,
,297,KOGE                          KOGE,,$47.96,0.0%,0.0%,0.0%,0.0%,"$62,232,202","$162,092,246","$162,092,246",1.0,
,299,Wrapped AVAX                          WAVAX,,$10.14,0.0%,0.1%,13.2%,28.6%,"$127,763,526","$162,009,920","$161,980,048",1.0,
,300,Fidelity Digital Interest Token                          FDIT,,$1.00,0.0%,0.0%,0.0%,0.0%,$0.00,"$161,010,506","$161,010,506",1.0,
