,#,Coin,,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV,Last 7 Days
,42,World Liberty Financial                          WLFI,Buy,$0.1298,0.5%,0.3%,17.6%,23.9%,"$88,459,796","$3,532,360,055","$12,965,737,989",0.27,
,43,Tether Gold                          XAUT,Buy,"$4,909.99",0.5%,4.0%,3.2%,13.0%,"$1,128,637,053","$3,502,772,165","$3,502,772,165",1.0,
,44,Toncoin                          TON,Buy,$1.38,0.2%,2.1%,8.1%,25.6%,"$83,926,856","$3,366,862,599","$7,120,983,710",0.47,
,45,Cronos                          CRO,Buy,$0.08284,0.2%,3.9%,8.2%,21.0%,"$31,090,383","$3,300,170,904","$8,149,609,026",0.4,
,46,Rain                          RAIN,Buy,$0.009529,0.0%,0.5%,5.6%,19.3%,"$37,521,241","$3,238,300,416","$10,958,008,478",0.3,
,47,MemeCore                          M,Buy,$1.51,0.1%,3.2%,2.3%,2.6%,"$8,626,710","$2,623,558,640","$8,078,091,004",0.32,
,48,Polkadot                          DOT,Buy,$1.53,0.3%,0.6%,16.8%,29.3%,"$133,566,851","$2,540,370,347","$2,540,370,347",1.0,
,49,Uniswap                          UNI,Buy,$3.93,0.2%,0.5%,15.3%,33.7%,"$188,708,118","$2,495,026,530","$3,537,307,174",0.71,
,50,Mantle                          MNT,Buy,$0.7219,0.5%,0.5%,17.9%,31.4%,"$52,683,321","$2,348,573,303","$4,490,246,724",0.52,
,51,PAX Gold                          PAXG,Buy,"$4,930.62",0.5%,3.8%,3.1%,13.4%,"$1,117,027,618","$2,218,903,831","$2,218,903,831",1.0,
,52,Bitget Token                          BGB,Buy,$3.06,0.1%,1.2%,14.2%,13.4%,"$29,273,481","$2,144,096,954","$2,808,589,488",0.76,
,53,Falcon USD                          USDF,,$0.9935,0.1%,0.2%,0.2%,0.5%,"$4,509,282","$2,030,658,481","$2,030,658,481",1.0,
,54,Aave                          AAVE,Buy,$127.94,0.2%,0.4%,16.9%,22.3%,"$305,482,983","$1,943,706,955","$2,047,659,465",0.95,
,55,Bittensor                          TAO,Buy,$195.03,0.1%,1.4%,15.2%,26.4%,"$105,304,041","$1,876,250,628","$4,105,371,205",0.46,
,56,OKB                          OKB,Buy,$87.59,0.3%,1.1%,15.7%,23.5%,"$21,112,585","$1,840,705,139","$1,840,705,139",1.0,
,57,Pepe                          PEPE,Buy,$0.054264,0.1%,0.6%,14.0%,39.0%,"$351,403,505","$1,794,862,877","$1,794,862,877",1.0,
,58,BlackRock USD Institutional Digital Liquidity Fund                          BUIDL,Buy,$1.00,0.0%,0.0%,0.0%,0.0%,$0.00,"$1,706,819,617","$1,706,819,617",1.0,
,59,Circle USYC                          USYC,Buy,$1.11,0.0%,0.0%,0.2%,0.3%,"$668,555","$1,668,490,296","$1,668,490,296",1.0,
,60,HTX DAO                          HTX,Buy,$0.051742,0.0%,0.7%,2.0%,3.3%,"$16,599,142","$1,596,391,097","$1,596,391,097",1.0,
,61,Global Dollar                          USDG,,$0.9998,0.0%,0.0%,0.0%,0.0%,"$43,386,653","$1,578,620,458","$1,578,620,458",1.0,
,62,NEAR Protocol                          NEAR,Buy,$1.20,0.2%,0.2%,17.1%,30.1%,"$139,135,578","$1,548,869,676","$1,548,869,698",1.0,
,63,Jupiter Perpetuals Liquidity Provider Token                          JLP,Buy,$4.08,0.0%,0.6%,9.9%,13.3%,"$39,843,340","$1,529,542,549","$1,529,542,549",1.0,
,64,Ethereum Classic                          ETC,Buy,$9.70,0.1%,0.2%,13.5%,24.3%,"$48,037,619","$1,508,602,358","$1,508,602,358",1.0,
,65,Internet Computer                          ICP,Buy,$2.71,0.5%,0.2%,16.2%,15.6%,"$76,833,722","$1,483,937,070","$1,483,937,070",1.0,
,66,syrupUSDC                          SYRUPUSDC,,$1.15,0.0%,0.0%,0.1%,0.4%,"$11,076,874","$1,475,160,546","$1,490,481,868",0.99,
,67,Jito Staked SOL                          JITOSOL,Buy,$129.44,0.1%,0.6%,16.8%,23.0%,"$48,745,705","$1,465,871,841","$1,465,871,841",1.0,
,68,Ripple USD                          RLUSD,,$0.9999,0.0%,0.0%,0.0%,0.0%,"$195,006,232","$1,459,089,056","$1,459,089,056",1.0,
,69,Aster                          ASTER,Buy,$0.5879,0.6%,4.0%,8.9%,22.0%,"$182,313,711","$1,443,257,901","$4,656,963,524",0.31,
,70,Pump.fun                          PUMP,Buy,$0.002423,1.1%,2.9%,20.9%,3.9%,"$216,458,618","$1,430,212,197","$2,424,062,290",0.59,
